year,county,hospital,total,cesarean_total,cesarean_repeat,vbac
2018,CUMBERLAND,UPMC PINNACLE CARLISLE,408,113,47,2
2018,DAUPHIN,MILTON S HERSHEY MEDICAL CENTER,2107,748,299,69
2018,DAUPHIN,UPMC PINNACLE HOSPITALS,3689,1136,468,35
2018,DELAWARE,CROZER CHESTER MEDICAL CENTER,1233,302,135,50
2018,DELAWARE,DELAWARE COUNTY MEMORIAL HOSPITAL,1006,306,148,39
2018,DELAWARE,RIDDLE MEMORIAL HOSPITAL,992,317,119,23
2018,DELAWARE,TAYLOR HOSPITAL,2,0,0,0
2018,ELK,PENN HIGHLANDS ELK,179,57,30,0
2018,ERIE,CORRY MEMORIAL HOSPITAL,1,0,0,0
2018,ERIE,MILLCREEK COMMUNITY HOSPITAL,128,36,17,0
2018,ERIE,SAINT VINCENT HOSPITAL,892,323,151,36
2018,ERIE,UPMC HAMOT,2234,807,415,63
2018,FAYETTE,HIGHLANDS HOSPITAL,1,0,0,0
2018,FAYETTE,UNIONTOWN HOSPITAL,831,276,118,16
2018,FRANKLIN,CHAMBERSBURG HOSPITAL,1326,340,152,42
2018,FRANKLIN,WAYNESBORO HOSPITAL,392,112,34,7
2018,HUNTINGDON,J. C. BLAIR MEMORIAL HOSPITAL,199,66,23,0
2018,INDIANA,INDIANA REGIONAL MEDICAL CENTER,522,116,55,7
2018,JEFFERSON,PUNXSUTAWNEY AREA HOSPITAL,108,42,19,1
2018,LACKAWANNA,MOSES TAYLOR HOSPITAL,2262,807,314,40
2018,LANCASTER,LANCASTER GENERAL HEALTH WOMEN & BABIES HOSPITAL,4172,1327,635,103
2018,LANCASTER,UPMC PINNACLE LITITZ,1028,385,153,67
2018,LANCASTER,WELLSPAN EPHRATA COMMUNITY HOSPITAL,889,278,77,47
2018,LAWRENCE,UPMC JAMESON,4,0,0,0
2018,LEBANON,WELLSPAN GOOD SAMARITAN HOSPITAL,703,252,105,10
2018,LEHIGH,LEHIGH VALLEY HOSPITAL - 17TH STREET,3449,1141,522,99
2018,LEHIGH,LEHIGH VALLEY HOSPITAL - CEDAR CREST,29,7,3,0
2018,LEHIGH,LEHIGH VALLEY HOSPITAL MUHLENBERG,1372,420,156,34
2018,LEHIGH,ST LUKES HOSPITAL BETHLEHEM,2419,828,348,78
2018,LEHIGH,ST. LUKE'S HOSPITAL - SACRED HEART CAMPUS,1,0,0,0
2018,LEHIGH,ST. LUKES HOSPITAL ALLENTOWN,1567,457,191,62
2018,LUZERNE,GEISINGER WYOMING VALLEY MEDICAL CENTER,1676,570,262,49
2018,LUZERNE,LEHIGH VALLEY HOSPITAL - HAZLETON,788,281,159,3
2018,LUZERNE,WILKES-BARRE GENERAL HOSPITAL,1047,453,146,21
2018,LYCOMING,WILLIAMSPORT REGIONAL MEDICAL CENTER,1121,333,146,27
2018,MCKEAN,BRADFORD REGIONAL MEDICAL CENTER,176,48,21,6
2018,MCKEAN,UPMC KANE,1,0,0,0
2018,MERCER,SHARON REGIONAL HEALTH SYSTEM,418,101,43,7
2018,MERCER,UPMC HORIZON - SHENANGO,909,280,106,21
2018,MIFFLIN,GEISINGER - LEWISTOWN HOSPITAL,573,148,57,11
2018,MONROE,POCONO MEDICAL CENTER,1050,307,141,25
2018,MONROE,ST. LUKE'S HOSPITAL - MONROE CAMPUS,1,0,0,0
2018,MONTGOMERY,ABINGTON MEMORIAL HOSPITAL,4363,1419,672,104
2018,MONTGOMERY,EINSTEIN MEDICAL CENTER ELKINS PARK,1,0,0,0
2018,MONTGOMERY,EINSTEIN MEDICAL CENTER MONTGOMERY,2071,537,223,91
2018,MONTGOMERY,HOLY REDEEMER HOSPITAL,2755,860,360,48
2018,MONTGOMERY,MAIN LINE HEALTH LANKENAU MEDICAL CENTER,2870,1035,426,38
2018,MONTGOMERY,MAIN LINE HOSPITAL BRYN MAWR,1509,516,194,16
2018,MONTGOMERY,POTTSTOWN HOSPITAL,379,137,67,2
2018,MONTGOMERY,SUBURBAN COMMUNITY HOSPITAL,1,0,0,0
2018,MONTOUR,GEISINGER MEDICAL CENTER,1843,604,191,57
2018,NORTHAMPTON,EASTON HOSPITAL,410,160,61,2
2018,NORTHUMBERLAND,SHAMOKIN AREA COMMUNITY HOSPITAL,1,0,0,0
2018,PHILADELPHIA,ALBERT EINSTEIN MEDICAL CENTER,2780,779,373,177
2018,PHILADELPHIA,CHILDRENS HOSPITAL OF PHILADELPHIA,453,305,33,1
2018,PHILADELPHIA,EPISCOPAL HOSPITAL,1,0,0,0
2018,PHILADELPHIA,HAHNEMANN UNIVERSITY HOSPITAL,1687,478,126,36
2018,PHILADELPHIA,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,4291,1278,517,143
2018,PHILADELPHIA,JEANES HOSPITAL,1,0,0,0
2018,PHILADELPHIA,JEFFERSON FRANKFORD HOSPITAL,5,1,1,0
2018,PHILADELPHIA,JEFFERSON TORRESDALE HOSPITAL,2,0,0,0
2018,PHILADELPHIA,MERCY PHILADELPHIA HOSPITAL,2,0,0,0
2018,PHILADELPHIA,METHODIST HOSPITAL,1,0,0,0
2018,PHILADELPHIA,NAZARETH HOSPITAL,3,0,0,0
2018,PHILADELPHIA,PA HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,5011,1513,592,173
2018,PHILADELPHIA,TEMPLE UNIVERSITY HOSPITAL,2352,782,363,90
2018,PHILADELPHIA,THOMAS JEFFERSON UNIVERSITY HOSPITAL,1934,585,223,94
2018,POTTER,UPMC COLE,188,83,27,3
2018,SCHUYLKILL,LEHIGH VALLEY HOSPITAL - SCHUYLKILL,619,237,83,7
2018,SCHUYLKILL,ST. LUKE'S MINERS MEMORIAL HOSPITAL,1,0,0,0
2018,SOMERSET,UPMC SOMERSET,3,1,0,0
2018,TIOGA,SOLDIERS & SAILORS MEMORIAL HOSPITAL,191,56,27,1
2018,UNION,EVANGELICAL COMMUNITY HOSPITAL,843,295,128,15
2018,VENANGO,UPMC NORTHWEST MEDICAL CENTER - SENECA,593,209,88,12
2018,WARREN,WARREN GENERAL HOSPITAL,278,92,19,1
2018,WASHINGTON,MONONGAHELA VALLEY HOSPITAL,1,0,0,0
2018,WASHINGTON,WASHINGTON HOSPITAL,830,219,78,15
2018,WAYNE,WAYNE MEMORIAL HOSPITAL,422,112,55,1
2018,WESTMORELAND,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,1240,310,124,17
2018,YORK,UPMC PINNACLE HANOVER,504,155,60,14
2018,YORK,UPMC PINNACLE MEMORIAL,462,120,66,4
2018,YORK,WELLSPAN YORK HOSPITAL,3102,998,435,79
2018,NA,FREESTANDING BIRTHING CENTER,1737,0,0,55
2018,NA,OTHER**,3108,0,0,118
2017,ADAMS,WELLSPAN GETTYSBURG HOSPITAL,514,133,51,0
2017,ALLEGHENY,ALLEGHENY GENERAL HOSPITAL,1,0,0,0
2017,ALLEGHENY,ALLEGHENY VALLEY HOSPITAL,3,0,0,2
2017,ALLEGHENY,FORBES HOSPITAL,1231,445,154,13
2017,ALLEGHENY,HERITAGE VALLEY SEWICKLEY,703,266,116,8
2017,ALLEGHENY,JEFFERSON HOSPITAL,977,325,97,22
2017,ALLEGHENY,OHIO VALLEY GENERAL HOSPITAL,1,0,0,0
2017,ALLEGHENY,ST. CLAIR MEMORIAL HOSPITAL,1507,484,160,6
2017,ALLEGHENY,UPMC MAGEE - WOMENS HOSPITAL,8814,2613,234,108
2017,ALLEGHENY,UPMC MERCY,1085,293,120,39
2017,ALLEGHENY,UPMC PASSAVANT,1,0,0,0
2017,ALLEGHENY,UPMC ST. MARGARET,1,0,0,0
2017,ALLEGHENY,WEST PENN HOSPITAL,4217,1481,607,125
2017,ARMSTRONG,ACMH,440,184,75,6
2017,BEAVER,CURAHEALTH HERITAGE VALLEY,910,293,85,22
2017,BEDFORD,UPMC BEDFORD MEMORIAL,231,81,26,4
2017,BERKS,PENN STATE HEALTH ST. JOSEPH MEDICAL CENTER,672,232,111,13
2017,BERKS,READING HOSPITAL,3542,1004,496,123
2017,BLAIR,NASON HOSPITAL,321,80,41,0
2017,BLAIR,UPMC ALTOONA,986,244,79,22
2017,BRADFORD,ROBERT PACKER HOSPITAL,774,225,101,5
2017,BUCKS,DOYLESTOWN HOSPITAL,1241,471,206,25
2017,BUCKS,GRAND VIEW HOSPITAL,1201,344,73,7
2017,BUCKS,LOWER BUCKS HOSPITAL,2,0,0,0
2017,BUCKS,ST. MARY MEDICAL CENTER,2221,826,359,35
2017,BUTLER,BUTLER MEMORIAL HOSPITAL,955,266,103,14
2017,CAMBRIA,CONEMAUGH MEMORIAL MEDICAL CENTER,1883,525,231,55
2017,CENTRE,MOUNT NITTANY MEDICAL CENTER,1350,343,151,20
2017,CHESTER,CHESTER COUNTY HOSPITAL,2869,741,376,98
2017,CHESTER,MAIN LINE HEALTH PAOLI HOSPITAL,2065,708,307,36
2017,CHESTER,PHOENIXVILLE HOSPITAL,807,250,120,18
2017,CLARION,CLARION HOSPITAL,105,39,23,0
2017,CLEARFIELD,PENN HIGHLANDS DUBOIS,1112,317,118,26
2017,CLINTON,BUCKTAIL MEDICAL CENTER,1,0,0,0
2017,CLINTON,LOCK HAVEN HOSPITAL,31,12,2,0
2017,COLUMBIA,BERWICK HOSPITAL CENTER,86,39,16,0
2017,COLUMBIA,GEISINGER-BLOOMSBURG HOSPITAL,372,59,23,0
2017,CRAWFORD,MEADVILLE MEDICAL CENTER,586,167,63,6
2017,CRAWFORD,TITUSVILLE AREA HOSPITAL,3,0,0,0
2017,CUMBERLAND,HOLY SPIRIT HOSPITAL,1154,279,110,77
2017,CUMBERLAND,UPMC PINNACLE CARLISLE,376,113,46,2
2017,DAUPHIN,MILTON S. HERSHEY MEDICAL CENTER,2112,793,309,61
2017,DAUPHIN,UPMC PINNACLE HOSPITALS,3902,1235,481,45
2017,DELAWARE,CROZER CHESTER MEDICAL CENTER,1270,354,169,42
2017,DELAWARE,DELAWARE COUNTY MEMORIAL HOSPITAL,1091,377,171,46
2017,DELAWARE,MERCY FITZGERALD HOSPITAL,1,0,0,0
2017,DELAWARE,RIDDLE MEMORIAL HOSPITAL,981,302,160,12
2017,ELK,PENN HIGHLANDS ELK,184,56,29,0
2017,ERIE,CORRY MEMORIAL HOSPITAL,3,0,0,0
2017,ERIE,MILLCREEK COMMUNITY HOSPITAL,140,32,19,7
2017,ERIE,SAINT VINCENT HOSPITAL,1006,384,203,28
2017,ERIE,UPMC HAMOT,2274,876,414,55
2017,FAYETTE,HIGHLANDS HOSPITAL,1,0,0,1
2017,FAYETTE,UNIONTOWN HOSPITAL,838,287,131,11
2017,FRANKLIN,CHAMBERSBURG HOSPITAL,1328,384,176,35
2017,FRANKLIN,WAYNESBORO HOSPITAL,412,126,42,9
2017,HUNTINGDON,J. C. BLAIR MEMORIAL HOSPITAL,205,90,47,3
2017,INDIANA,INDIANA REGIONAL MEDICAL CENTER,522,118,60,8
2017,JEFFERSON,PUNXSUTAWNEY AREA HOSPITAL,118,44,20,1
2017,LACKAWANNA,MOSES TAYLOR HOSPITAL,2364,856,337,45
2017,LANCASTER,LANCASTER GENERAL HEALTH WOMEN & BABIES HOSPITAL,4377,1453,680,80
2017,LANCASTER,UPMC PINNACLE LITITZ,1084,431,172,45
2017,LANCASTER,WELLSPAN EPHRATA COMMUNITY HOSPITAL,868,256,81,45
2017,LAWRENCE,UPMC JAMESON,2,0,0,0
2017,LEBANON,WELLSPAN GOOD SAMARITAN HOSPITAL,710,231,94,25
2017,LEHIGH,LEHIGH VALLEY HOSPITAL - 17TH ST,3964,1289,568,138
2017,LEHIGH,LEHIGH VALLEY HOSPITAL MUHLENBERG,738,219,67,25
2017,LEHIGH,ST. LUKE'S HOSPITAL - SACRED HEART CAMPUS,203,44,22,3
2017,LEHIGH,ST. LUKE'S HOSPITAL ALLENTOWN,1394,379,172,58
2017,LEHIGH,ST. LUKE'S HOSPITAL BETHLEHEM,2326,792,336,76
2017,LUZERNE,GEISINGER WYOMING VALLEY MEDICAL CENTER,1620,524,259,36
2017,LUZERNE,LEHIGH VALLEY HOSPITAL - HAZLETON,778,261,142,5
2017,LUZERNE,WILKES-BARRE GENERAL HOSPITAL,1083,408,145,21
2017,LYCOMING,WILLIAMSPORT REGIONAL MEDICAL CENTER,1055,371,138,15
2017,MCKEAN,BRADFORD REGIONAL MEDICAL CENTER,185,58,25,2
2017,MERCER,SHARON REGIONAL HEALTH SYSTEM,345,90,42,10
2017,MERCER,UPMC HORIZON,1,0,0,0
2017,MERCER,UPMC HORIZON - SHENANGO,1000,299,119,25
2017,MIFFLIN,GEISINGER - LEWISTOWN HOSPITAL,516,147,54,21
2017,MONROE,POCONO MEDICAL CENTER,1019,257,111,22
2017,MONTGOMERY,ABINGTON MEMORIAL HOSPITAL,4616,1512,651,129
2017,MONTGOMERY,EINSTEIN MEDICAL CENTER MONTGOMERY,1935,511,230,89
2017,MONTGOMERY,HOLY REDEEMER HOSPITAL,2673,808,395,63
2017,MONTGOMERY,MAIN LINE HEALTH LANKENAU MEDICAL CENTER,2905,1036,381,47
2017,MONTGOMERY,MAIN LINE HOSPITAL BRYN MAWR,1568,516,169,22
2017,MONTGOMERY,POTTSTOWN HOSPITAL,419,154,71,9
2017,MONTOUR,GEISINGER MEDICAL CENTER,1815,619,180,62
2017,NORTHAMPTON,EASTON HOSPITAL,348,143,41,2
2017,PHILADELPHIA,ALBERT EINSTEIN MEDICAL CENTER,2810,890,394,128
2017,PHILADELPHIA,ARIA HEALTH FRANKFORD,1,0,0,0
2017,PHILADELPHIA,CHILDRENS HOSPITAL OF PHILADELPHIA,453,297,24,2
2017,PHILADELPHIA,HAHNEMANN UNIVERSITY HOSPITAL,1765,367,80,62
2017,PHILADELPHIA,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,4299,1395,532,141
2017,PHILADELPHIA,NAZARETH HOSPITAL,1,0,0,0
2017,PHILADELPHIA,PA HSP OF THE UNIVER OF PA HEALTH SYS,5119,1634,686,131
2017,PHILADELPHIA,PENN PRESBYTERIAN MEDICAL CENTER,1,1,0,0
2017,PHILADELPHIA,ROXBOROUGH MEMORIAL HOSPITAL,1,0,0,0
2017,PHILADELPHIA,TEMPLE UNIVERSITY HOSPITAL,2588,758,321,112
2017,PHILADELPHIA,THOMAS JEFFERSON UNIVERSITY HOSPITAL,1801,573,226,87
2017,POTTER,UPMC COLE,212,97,32,8
2017,SCHUYLKILL,LEHIGH VALLEY HOSPITAL - SCHUYLKILL,671,216,76,7
2017,SCHUYLKILL,ST. LUKE'S MINERS MEMORIAL HOSPITAL,1,0,0,0
2017,TIOGA,SOLDIERS & SAILORS MEMORIAL HOSPITAL,219,65,32,0
2017,UNION,EVANGELICAL COMMUNITY HOSPITAL,897,344,120,24
2017,VENANGO,UPMC NORTHWEST MEDICAL CENTER - SENECA,627,192,77,14
2017,WARREN,WARREN GENERAL HOSPITAL,319,119,41,1
2017,WASHINGTON,WASHINGTON HOSPITAL,862,254,102,16
2017,WAYNE,WAYNE MEMORIAL HOSPITAL,462,113,69,1
2017,WESTMORELAND,EXCELA HEALTH FRICK HOSPITAL,1,0,0,0
2017,WESTMORELAND,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,1251,301,135,23
2017,YORK,UPMC PINNACLE HANOVER,524,159,50,3
2017,YORK,UPMC PINNACLE MEMORIAL,506,145,69,5
2017,YORK,WELLSPAN YORK HOSPITAL,3105,1005,419,100
2017,NA,FREESTANDING BIRTHING CENTER,1707,0,0,54
2017,NA,OTHER**,3097,0,0,138
2016,STATE TOTAL,NA,138661,41440,16572,3396
2016,ADAMS,WELLSPAN GETTYSBURG HOSPITAL,494,116,63,0
2016,ALLEGHENY,ALLEGHENY GENERAL HOSPITAL,2,0,0,0
2016,ALLEGHENY,ALLEGHENY VALLEY HOSPITAL,1,0,0,0
2016,ALLEGHENY,FORBES HOSPITAL,1284,415,113,19
2016,ALLEGHENY,HERITAGE VALLEY SEWICKLEY,705,294,154,9
2016,ALLEGHENY,JEFFERSON HOSPITAL,908,290,76,9
2016,ALLEGHENY,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,9126,2619,457,119
2016,ALLEGHENY,ST CLAIR MEMORIAL HOSPITAL,1537,494,187,5
2016,ALLEGHENY,UPMC MCKEESPORT,1,1,0,0
2016,ALLEGHENY,UPMC MERCY,1218,327,118,37
2016,ALLEGHENY,WEST PENN HOSPITAL,4057,1384,579,125
2016,ARMSTRONG,ACMH,411,130,61,8
2016,BEAVER,CURAHEALTH HERITAGE VALLEY,1076,337,108,17
2016,BEDFORD,UPMC BEDFORD MEMORIAL,307,99,42,2
2016,BERKS,READING HOSPITAL,3611,1033,493,132
2016,BERKS,ST JOSEPH MEDICAL CENTER,710,207,95,6
2016,BLAIR,NASON HOSPITAL,397,114,54,0
2016,BLAIR,UPMC ALTOONA,998,258,94,13
2016,BRADFORD,ROBERT PACKER HOSPITAL,861,245,123,7
2016,BRADFORD,TROY COMMUNITY HOSPITAL,1,0,0,0
2016,BUCKS,DOYLESTOWN HOSPITAL,1274,495,235,14
2016,BUCKS,GRAND VIEW HOSPITAL,1204,383,60,6
2016,BUCKS,ST MARY MEDICAL CENTER,2319,825,357,44
2016,BUTLER,BUTLER MEMORIAL HOSPITAL,1038,295,112,16
2016,CAMBRIA,CONEMAUGH MEMORIAL MEDICAL CENTER,1723,399,160,58
2016,CARBON,GNADEN HUETTEN MEMORIAL HOSPITAL,1,0,0,0
2016,CENTRE,MOUNT NITTANY MEDICAL CENTER,1357,368,151,31
2016,CHESTER,CHESTER COUNTY HOSPITAL,2600,717,343,86
2016,CHESTER,JENNERSVILLE REGIONAL HOSPITAL,249,53,22,17
2016,CHESTER,MAIN LINE HEALTH PAOLI HOSPITAL,2137,697,311,32
2016,CHESTER,PHOENIXVILLE HOSPITAL,869,253,110,35
2016,CLARION,CLARION HOSPITAL,108,41,19,1
2016,CLEARFIELD,PENN HIGHLANDS CLEARFIELD,2,0,0,0
2016,CLEARFIELD,PENN HIGHLANDS DUBOIS,1089,295,112,23
2016,CLINTON,LOCK HAVEN HOSPITAL,135,46,11,0
2016,COLUMBIA,BERWICK HOSPITAL CENTER,159,82,25,1
2016,COLUMBIA,GEISINGER-BLOOMSBURG HOSPITAL,294,57,20,0
2016,CRAWFORD,MEADVILLE MEDICAL CENTER,568,155,50,3
2016,CRAWFORD,TITUSVILLE AREA HOSPITAL,2,0,0,0
2016,CUMBERLAND,CARLISLE REGIONAL MEDICAL CENTER,441,149,60,2
2016,CUMBERLAND,HOLY SPIRIT HOSPITAL,1159,293,117,58
2016,DAUPHIN,MILTON S HERSHEY MEDICAL CENTER,2101,769,345,51
2016,DAUPHIN,PINNACLE HEALTH HOSPITALS,3956,1260,503,31
2016,DELAWARE,CROZER CHESTER MEDICAL CENTER,1340,370,188,41
2016,DELAWARE,DELAWARE COUNTY MEMORIAL HOSPITAL,1055,339,158,40
2016,DELAWARE,RIDDLE MEMORIAL HOSPITAL,948,307,158,16
2016,ELK,PENN HIGHLANDS ELK,221,61,32,2
2016,ERIE,CORRY MEMORIAL HOSPITAL,1,0,0,0
2016,ERIE,MILLCREEK COMMUNITY HOSPITAL,142,47,11,2
2016,ERIE,SAINT VINCENT HOSPITAL,1036,342,157,19
2016,ERIE,UPMC HAMOT,2280,892,438,44
2016,FAYETTE,UNIONTOWN HOSPITAL,848,260,116,13
2016,FRANKLIN,CHAMBERSBURG HOSPITAL,1376,390,184,39
2016,FRANKLIN,WAYNESBORO HOSPITAL,433,134,45,11
2016,HUNTINGDON,J C BLAIR MEMORIAL HOSPITAL,198,86,36,0
2016,INDIANA,INDIANA REGIONAL MEDICAL CENTER,556,139,67,6
2016,JEFFERSON,PUNXSUTAWNEY AREA HOSPITAL,124,55,21,0
2016,LACKAWANNA,MOSES TAYLOR HOSPITAL,2550,896,327,48
2016,LANCASTER,HEART OF LANCASTER REGIONAL MEDICAL CENTER,1119,383,115,48
2016,LANCASTER,LANCASTER GENERAL HEALTH WOMEN & BABIES HOSPITAL,4082,1405,640,75
2016,LANCASTER,WELLSPAN EPHRATA COMMUNITY HOSPITAL,823,222,69,53
2016,LAWRENCE,UPMC JAMESON,4,0,0,0
2016,LEBANON,WELLSPAN GOOD SAMARITAN HOSPITAL,709,225,82,20
2016,LEHIGH,LEHIGH VALLEY HOSPITAL - 17TH ST,4560,1385,462,138
2016,LEHIGH,SACRED HEART HOSPITAL,248,70,37,3
2016,LEHIGH,ST LUKES HOSPITAL ALLENTOWN,1388,404,178,65
2016,LEHIGH,ST LUKES HOSPITAL BETHLEHEM,2196,712,319,55
2016,LUZERNE,GEISINGER WYOMING VALLEY MEDICAL CENTER,1559,467,230,48
2016,LUZERNE,LEHIGH VALLEY HOSPITAL - HAZLETON,771,266,127,2
2016,LUZERNE,WILKES-BARRE GENERAL HOSPITAL,1096,404,166,17
2016,LYCOMING,WILLIAMSPORT REGIONAL MEDICAL CENTER,1114,359,178,25
2016,MCKEAN,BRADFORD REGIONAL MEDICAL CENTER,167,53,27,5
2016,MERCER,GROVE CITY MEDICAL CENTER,1,0,0,0
2016,MERCER,SHARON REGIONAL HEALTH SYSTEM,316,82,31,5
2016,MERCER,UPMC HORIZON - SHENANGO,1063,304,125,25
2016,MIFFLIN,GEISINGER - LEWISTOWN HOSPITAL,518,151,58,13
2016,MONROE,POCONO MEDICAL CENTER,1104,316,146,18
2016,MONTGOMERY,ABINGTON MEMORIAL HOSPITAL,4523,1421,627,116
2016,MONTGOMERY,EINSTEIN MEDICAL CENTER MONTGOMERY,2056,547,251,79
2016,MONTGOMERY,HOLY REDEEMER HOSPITAL,2724,823,402,43
2016,MONTGOMERY,MAIN LINE HEALTH LANKENAU MEDICAL CENTER,2798,1063,421,59
2016,MONTGOMERY,MAIN LINE HOSPITAL BRYN MAWR,1642,565,185,26
2016,MONTGOMERY,MERCY PHILADELPHIA HOSPITAL,1,0,0,0
2016,MONTGOMERY,POTTSTOWN MEMORIAL MEDICAL CENTER,430,154,70,5
2016,MONTOUR,GEISINGER MEDICAL CENTER,1827,588,178,62
2016,NORTHAMPTON,KINDRED HOSPITAL EASTON,425,171,56,1
2016,PHILADELPHIA,ALBERT EINSTEIN MEDICAL CENTER,2723,831,387,132
2016,PHILADELPHIA,ARIA HEALTH FRANKFORD,3,0,0,0
2016,PHILADELPHIA,CHILDRENS HOSPITAL OF PHILADELPHIA,445,286,30,2
2016,PHILADELPHIA,HAHNEMANN UNIVERSITY HOSPITAL,1910,319,69,57
2016,PHILADELPHIA,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,4079,1212,501,166
2016,PHILADELPHIA,PA HSP OF THE UNIVER OF PA HEALTH SYS,5080,1471,652,180
2016,PHILADELPHIA,TEMPLE UNIVERSITY HOSPITAL,2721,765,348,132
2016,PHILADELPHIA,THOMAS JEFFERSON UNIVERSITY HOSPITAL,1921,572,219,69
2016,POTTER,CHARLES COLE MEMORIAL HOSPITAL,187,81,37,8
2016,SCHUYLKILL,SCHUYLKILL MEDICAL CENTER - E NORWEGIAN ST,1,0,0,0
2016,SCHUYLKILL,SCHUYLKILL MEDICAL CENTER - S JACKSON ST,692,246,100,8
2016,SOMERSET,SOMERSET HOSPITAL,239,66,19,3
2016,TIOGA,SOLDIERS & SAILORS MEMORIAL HOSPITAL,228,80,33,1
2016,UNION,EVANGELICAL COMMUNITY HOSPITAL,921,321,158,15
2016,VENANGO,UPMC NORTHWEST MEDICAL CENTER - SENECA,723,262,99,10
2016,WARREN,WARREN GENERAL HOSPITAL,341,93,33,2
2016,WASHINGTON,CANONSBURG HOSPITAL,1,0,0,0
2016,WASHINGTON,WASHINGTON HOSPITAL,935,222,92,13
2016,WAYNE,WAYNE MEMORIAL HOSPITAL,461,126,54,0
2016,WESTMORELAND,EXCELA HEALTH LATROBE HOSPITAL,1,0,0,0
2016,WESTMORELAND,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,1221,311,133,21
2016,YORK,HANOVER HOSPITAL,606,156,49,14
2016,YORK,MEMORIAL HOSPITAL,543,133,55,4
2016,YORK,WELLSPAN YORK HOSPITAL,3051,1034,446,83
2016,NA,FREESTANDING BIRTHING CENTER,1681,0,0,41
2016,NA,OTHER**,3085,0,0,131
2015,STATE TOTAL,NA,140146,42211,16570,3296
2015,ADAMS,WELLSPAN GETTYSBURG HOSPITAL,518,119,68,1
2015,ALLEGHENY,ALLEGHENY GENERAL HOSPITAL,2,0,0,0
2015,ALLEGHENY,ALLEGHENY VALLEY HOSPITAL,1,0,0,0
2015,ALLEGHENY,FORBES HOSPITAL,951,334,132,14
2015,ALLEGHENY,HERITAGE VALLEY SEWICKLEY,751,309,159,2
2015,ALLEGHENY,JEFFERSON HOSPITAL,772,267,66,22
